Department or Agency,Fiscal Year,Amount (000's)
"PEI Aquaculture and Fisheries Research Initiative",FY 2011/12,78
"PEI Aquaculture and Fisheries Research Initiative",FY 2012/13,137
"PEI Aquaculture and Fisheries Research Initiative",FY 2013/14,58
"PEI Aquaculture and Fisheries Research Initiative",FY 2014/15,106
"Department of Health and Wellness",FY 2011/12,10797
"Department of Health and Wellness",FY 2012/13,11632
"Department of Health and Wellness",FY 2013/14,12227
"Department of Health and Wellness",FY 2014/15,12043
"Health PEI",FY 2011/12,548679
"Health PEI",FY 2012/13,569157
"Health PEI",FY 2013/14,587500
"Health PEI",FY 2014/15,599053
"Department of Innovation and Advanced Learning",FY 2011/12,125178
"Department of Innovation and Advanced Learning",FY 2012/13,120679
"Department of Innovation and Advanced Learning",FY 2013/14,122040
"Department of Innovation and Advanced Learning",FY 2014/15,106883
"P.E.I. Lending Agency",FY 2011/12,5495
"P.E.I. Lending Agency",FY 2012/13,0
"P.E.I. Lending Agency",FY 2013/14,0
"P.E.I. Lending Agency",FY 2014/15,0
"Innovation PEI",FY 2011/12,29639
"Innovation PEI",FY 2012/13,23425
"Innovation PEI",FY 2013/14,25352
"Innovation PEI",FY 2014/15,25569
"Student Financial Assistance Corporation",FY 2011/12,343
"Student Financial Assistance Corporation",FY 2012/13,302
"Student Financial Assistance Corporation",FY 2013/14,201
"Student Financial Assistance Corporation",FY 2014/15,7339
"Summerside Regional Development Corporation",FY 2011/12,710
"Summerside Regional Development Corporation",FY 2012/13,2918
"Summerside Regional Development Corporation",FY 2013/14,1821
"Summerside Regional Development Corporation",FY 2014/15,851
"Finance PEI",FY 2011/12,0
"Finance PEI",FY 2012/13,5744
"Finance PEI",FY 2013/14,6769
"Finance PEI",FY 2014/15,5736
"Legislative Assembly",FY 2011/12,5876
"Legislative Assembly",FY 2012/13,4859
"Legislative Assembly",FY 2013/14,4822
"Legislative Assembly",FY 2014/15,5027
"Public Service Commission",FY 2011/12,7918
"Public Service Commission",FY 2012/13,7563
"Public Service Commission",FY 2013/14,7059
"Public Service Commission",FY 2014/15,7227
"Department of Tourism and Culture",FY 2011/12,6761
"Department of Tourism and Culture",FY 2012/13,6462
"Department of Tourism and Culture",FY 2013/14,8725
"Department of Tourism and Culture",FY 2014/15,8541
"PEI Museum and Heritage Foundation",FY 2011/12,1789
"PEI Museum and Heritage Foundation",FY 2012/13,1427
"PEI Museum and Heritage Foundation",FY 2013/14,1529
"PEI Museum and Heritage Foundation",FY 2014/15,1787
"Tourism PEI",FY 2011/12,23418
"Tourism PEI",FY 2012/13,22002
"Tourism PEI",FY 2013/14,21901
"Tourism PEI",FY 2014/15,21321
"PEI 2014 Inc.",FY 2011/12,348
"PEI 2014 Inc.",FY 2012/13,2291
"PEI 2014 Inc.",FY 2013/14,8876
"PEI 2014 Inc.",FY 2014/15,15121
"Department of Transportation and Infrastructure Renewal",FY 2011/12,116105
"Department of Transportation and Infrastructure Renewal",FY 2012/13,102321
"Department of Transportation and Infrastructure Renewal",FY 2013/14,109650
"Department of Transportation and Infrastructure Renewal",FY 2014/15,106565
"Crown Building Corporation",FY 2011/12,0
"Crown Building Corporation",FY 2012/13,9
"Crown Building Corporation",FY 2013/14,0
"Crown Building Corporation",FY 2014/15,0
"Amortization of Tangible Capital Assets",FY 2011/12,58170
"Amortization of Tangible Capital Assets",FY 2012/13,63341
"Amortization of Tangible Capital Assets",FY 2013/14,64871
"Amortization of Tangible Capital Assets",FY 2014/15,66807
"Interest charges on the debt",FY 2011/12,106557
"Interest charges on the debt",FY 2012/13,116219
"Interest charges on the debt",FY 2013/14,116282
"Interest charges on the debt",FY 2014/15,130495
